SubscriptionID,Amount,Date
1,30.025714489039565,2022-01-06T02:02:34
2,45.0009179384511,2024-06-03T13:01:38
3,22.682715611205342,2022-06-30T23:41:37
4,82.18033547083627,2022-09-22T01:13:04
5,63.74506488833807,2024-03-01T12:36:32
6,67.48576543473389,2022-03-02T06:02:02
7,83.6749751077868,2022-02-18T00:22:45
8,66.67714442049669,2023-10-10T23:25:41
9,45.42297820366505,2024-01-03T10:31:14
10,12.784260225180507,2024-01-25T12:36:51
11,54.57581646923657,2022-03-14T00:48:48
12,34.58281486455921,2023-02-03T12:34:25
13,51.0458613023453,2022-07-27T06:37:44
14,48.95926174906123,2022-12-14T01:00:49
15,61.383132721983344,2021-09-11T14:08:43
16,94.59567359618589,2023-02-04T18:33:06
17,83.94643680083543,2022-02-19T12:46:17
18,95.47712460175593,2023-05-21T04:49:10
19,73.52286740822834,2023-09-18T06:54:01
20,17.468362471843832,2021-12-23T20:57:42
21,96.48840835272891,2022-04-09T00:08:53
22,10.636522794068366,2022-03-04T07:13:14
23,68.62438991867991,2023-02-22T21:38:22
24,38.64429400160189,2022-07-20T09:48:14
25,20.588689973107687,2022-06-10T18:07:35
26,42.2557748944721,2022-05-09T18:01:06
27,96.46549894275813,2022-07-17T23:32:57
28,13.13875775241442,2022-06-21T20:35:02
29,65.38518374463455,2022-08-08T13:07:21
30,56.74811263636167,2021-11-19T00:22:24
31,86.40176035357388,2024-03-30T21:37:15
32,78.53317173474527,2024-01-18T04:21:13
33,35.24436458813961,2024-06-08T01:52:49
34,13.450220269120763,2021-10-13T04:54:04
35,31.494571834977304,2024-08-07T10:50:25
36,21.803525924424676,2022-08-15T15:43:13
37,54.596031877416834,2024-02-14T20:32:24
38,44.787618890254656,2023-06-03T01:26:59
39,42.67320170472657,2023-06-25T16:20:01
40,83.51833339781632,2022-11-02T08:23:26
41,55.78484489988901,2023-10-31T03:55:14
42,88.96305325152844,2023-06-21T17:42:31
43,23.678274768646414,2023-05-01T06:16:36
44,10.792705042313015,2023-05-15T03:58:11
45,70.29827864976576,2024-01-23T00:57:13
46,64.56344540900645,2022-08-20T07:58:54
47,89.09313605030773,2022-11-23T20:51:51
48,77.5464891389817,2024-05-22T09:25:35
49,61.66091924147654,2022-06-20T05:44:20
50,22.314332129543594,2022-03-13T21:34:40
51,71.22572309198905,2022-11-27T08:14:10
52,98.83812070032091,2023-12-19T14:58:02
53,48.804752657828615,2024-06-29T03:56:30
54,92.23631953849791,2022-04-30T15:07:40
55,46.43391481807345,2021-10-31T05:12:54
56,57.86668881365922,2021-09-08T09:17:59
57,15.74573706445122,2023-03-15T12:55:24
58,70.56484709375411,2023-03-19T16:52:39
59,38.27529175485295,2023-04-15T19:22:35
60,46.91435389729993,2021-10-16T22:24:00
